Read_lengths,Braken_Percentage,Kraken_Percentage,Centrifuge_Percentage
500,75.07,73.26,76.23
1000,74.0,73.26,76.23
1500,74.0,73.26,79.0
2000,74.0,73.26,80.0
2500,73.9,72.27,81.0
3000,74.85,73.26,79.2
3500,73.16,72.27,80.19
4000,73.16,72.27,82.17
4500,73.16,72.27,81.18
5000,73.16,72.27,81.18
5500,72.27,72.27,81.18
6000,72.27,72.27,81.18
6500,72.27,72.27,81.18
7000,72.27,72.27,80.19
7500,72.27,72.27,80.19
8000,72.27,72.27,80.19
8500,72.27,72.27,80.19
9000,73.26,73.26,78.21
9500,73.26,73.26,78.21
10000,74.25,74.25,78.21
Combined,71.28,71.28,76.23
