read length,percentage classified (Kraken2),percentage unclassified (Kraken2),percentage classified (braken),percentage unclassified (braken),percentage classified (Centrifuge),percentage unclassified (Centrifuge)
500,4098.02,-3998.0200000000004,4098.02,-3998.0200000000004,100.0,0.0
1000,4498.02,-4398.02,4498.02,-4398.02,100.0,0.0
1500,4298.02,-4198.02,4298.02,-4198.02,100.0,0.0
2000,4298.02,-4198.02,4298.02,-4198.02,100.0,0.0
2500,4098.02,-3998.0200000000004,4098.02,-3998.0200000000004,100.0,0.0
3000,3900.0,-3800.0,3900.0,-3800.0,83.33333333333334,16.666666666666657
3500,4200.0,-4100.0,4200.0,-4100.0,100.0,0.0
4000,4200.0,-4100.0,4200.0,-4100.0,100.0,0.0
4500,4200.0,-4100.0,4200.0,-4100.0,100.0,0.0
5000,4200.0,-4100.0,4200.0,-4100.0,100.0,0.0
5500,4300.0,-4200.0,4300.0,-4200.0,100.0,0.0
6000,4000.0,-3900.0,4000.0,-3900.0,100.0,0.0
6500,4000.0,-3900.0,4000.0,-3900.0,100.0,0.0
7000,4000.0,-3900.0,4000.0,-3900.0,100.0,0.0
7500,4000.0,-3900.0,4000.0,-3900.0,100.0,0.0
8000,4000.0,-3900.0,4000.0,-3900.0,100.0,0.0
8500,4000.0,-3900.0,4000.0,-3900.0,100.0,0.0
9000,3900.0,-3800.0,3900.0,-3800.0,100.0,0.0
9500,3900.0,-3800.0,3900.0,-3800.0,100.0,0.0
10000,3800.0,-3700.0,3800.0,-3700.0,100.0,0.0
Combined,3600.0,-3500.0,3600.0,-3500.0,100.0,0.0
