basecaller,classifier,species,sensitivity,precision,f1_score
r10SUP,centrifuge,Pa01,0.99,0.99,0.99
r10SUP,centrifuge,MRSA,0.83,0.83,0.83
simulated,kraken2,Ecoli,0.06,0.06,0.06
r10DOR,centrifuge,Pa01,0.99,0.99,0.99
r10SUP,braken,MRSA,0.92,0.92,0.92
simulated,kraken2,MRSA,0.89,0.89,0.89
r10DUP,braken,Pa01,0.99,0.99,0.99
simulated,braken,Pa01,1.0,1.0,1.0
r9HAC,kraken2,Pa01,0.99,1.0,0.99
simulated,braken,Kpneu,0.91,0.91,0.91
r9SUP,braken,Pa01,0.99,1.0,0.99
simulated,braken,MRSA,0.9,0.9,0.9
r10DUP,kraken2,Kpneu,0.85,0.86,0.85
r10DUP,centrifuge,MRSA,0.83,0.83,0.83
r10DUP,centrifuge,Pa01,0.99,0.99,0.99
r10SUP,centrifuge,Kpneu,0.81,0.81,0.81
r9SUP,braken,Ecoli,0.09,0.09,0.09
r10DUP,centrifuge,Ecoli,0.18,0.18,0.18
r9SUP,kraken2,MRSA,0.89,0.9,0.89
r10DUP,kraken2,Ecoli,0.08,0.08,0.08
r10SUP,braken,Kpneu,0.89,0.9,0.89
r10SUP,kraken2,Ecoli,0.07,0.07,0.07
simulated,centrifuge,Ecoli,0.17,0.17,0.17
r9SUP,kraken2,Pa01,0.99,1.0,0.99
r10SUP,kraken2,Kpneu,0.89,0.89,0.89
r10DOR,centrifuge,Ecoli,0.16,0.16,0.16
r10SUP,kraken2,MRSA,0.91,0.91,0.91
r9SUP,centrifuge,Ecoli,0.15,0.15,0.15
r10DOR,braken,Ecoli,0.08,0.08,0.08
r10DOR,kraken2,Kpneu,0.89,0.89,0.89
simulated,kraken2,Kpneu,0.91,0.91,0.91
simulated,kraken2,Pa01,1.0,1.0,1.0
r10DUP,braken,Kpneu,0.86,0.87,0.86
simulated,centrifuge,Pa01,1.0,1.0,1.0
r9SUP,kraken2,Ecoli,0.08,0.09,0.08
r9SUP,braken,MRSA,0.9,0.9,0.9
r10DUP,centrifuge,Kpneu,0.81,0.81,0.81
r9HAC,braken,MRSA,0.9,0.91,0.9
r10DUP,kraken2,MRSA,0.9,0.9,0.9
r10DUP,braken,Ecoli,0.08,0.08,0.08
r10DOR,centrifuge,Kpneu,0.81,0.81,0.81
r9SUP,centrifuge,MRSA,0.81,0.81,0.81
r9HAC,centrifuge,Ecoli,0.16,0.16,0.16
r9SUP,braken,Kpneu,0.77,0.79,0.78
simulated,braken,Ecoli,0.06,0.06,0.06
r10SUP,braken,Ecoli,0.07,0.08,0.07
r10SUP,kraken2,Pa01,1.0,1.0,1.0
simulated,centrifuge,MRSA,0.82,0.82,0.82
r10SUP,braken,Pa01,1.0,1.0,1.0
r9SUP,kraken2,Kpneu,0.76,0.77,0.76
r9HAC,centrifuge,Kpneu,0.7,0.7,0.7
simulated,centrifuge,Kpneu,0.9,0.9,0.9
r10DUP,braken,MRSA,0.91,0.91,0.91
r10DOR,kraken2,MRSA,0.9,0.91,0.9
r9HAC,braken,Pa01,0.99,1.0,0.99
r9HAC,braken,Kpneu,0.77,0.79,0.78
r9SUP,centrifuge,Kpneu,0.7,0.7,0.7
r10DOR,braken,Kpneu,0.89,0.9,0.89
r10DUP,kraken2,Pa01,0.99,0.99,0.99
r9HAC,centrifuge,MRSA,0.81,0.81,0.81
r9HAC,kraken2,Ecoli,0.08,0.09,0.08
r10DOR,braken,Pa01,0.99,0.99,0.99
r9HAC,centrifuge,Pa01,0.98,0.98,0.98
r10DOR,kraken2,Ecoli,0.07,0.08,0.07
r10SUP,centrifuge,Ecoli,0.16,0.16,0.16
r9HAC,braken,Ecoli,0.09,0.09,0.09
r10DOR,centrifuge,MRSA,0.82,0.82,0.82
r9HAC,kraken2,Kpneu,0.75,0.77,0.76
r10DOR,braken,MRSA,0.91,0.91,0.91
r10DOR,kraken2,Pa01,0.99,0.99,0.99
r9SUP,centrifuge,Pa01,0.99,0.99,0.99
r9HAC,kraken2,MRSA,0.89,0.9,0.89
